标题,作者,内容,朝代,体裁
秀實惠簡問閑居消息有滴水滴凍之語以詩報之  其一,王洋,氣血扶輿夢幻身，用多補少不調匀。如今滴水滴凍客，便是貪花貪酒人。髪白容衰爭早晚，官榮家富費精神。空花若解揩摩盡，方識人間一笑春。,唐,律诗
无题,姜夔,柏绿椒红事事新。隔篱灯影贺年人。三茅钟动西窗晓，诗鬓无端又一春。慵对客，缓开门。梅花闲伴老来身。娇儿学作人间字，郁垒神荼写未真。,宋,词
恭和御制己亥十一月十三日南郊祭天齋宮即事賜詩  其二,蔡京,展采齊明拱面南，濃雲深入夜更嚴。風和不放瓊英落，日暖高隨玉漏暹。照地神光臨午陛，鳴皋仙羽下重簷。五門回仗如天上，看舉雞竿雨露霑。,唐,律诗
无题,张炎,舣孤篷。正丛篁护碧，流水曲池通。伛偻穿岩，纡盘寻径，忽见倒影凌空。拥一片、花阴无地，细看来、犹带古春风。胜事园林，旧家陶谢，诗酒相逢。眼底烟霞无数，料神仙即我，何处崆峒。清气分来，生香不断，洞户自有云封。认奇字、摩挲峭石，聚万景、只在此山中。人倚虚阑唤鹤，月白千峰。,宋,词
无题,陈三聘,光风薄。杨花欲谢春应觉。春应觉。一庭红叶，粉花吹落。冶游无复飞红索。凭高独上湖边阁。湖边阁。黄昏独倚，画阑西角。,宋,词
无题,陆叡,满清平世界庆秋成，看看斗三钱。论从来活国，论功第一，无过丰年。办得闲民一饱，馀事笑谈间。若问平戎策，微妙难传。玉帝要留公住，把西湖一曲，分入林园。有茶炉丹灶，更有钓鱼船。觉秋风、未曾吹著，但砌兰、长倚北堂萱。千千岁，上天将相，平地神仙。,宋,词
送鄭無欲改官知合江縣二首  其一,孔武仲,曉闢未央宫，千袍擁赭紅。分班百寮底，得邑萬山中。麗筆元摛錦，新章更綰銅。定應隨驛召，不久滯巴東。,唐,律诗
秋興三首  其二,蘇軾,故里依然一夢前，相携重上釣魚船。嘗陪大幕全陳迹，謬忝承明愧昔年。報國無成空白首，退耕何處有名田。黄雞白酒雲山約，此計當時已浩然。,唐,律诗
哭呂倅,劉子翬,瞑目荒山裏，携家萬里來。旅塋猶借地，兒哭不勝哀。裂甑妖難測，藏舟事可猜。大賢應有後，天道信悠哉。,唐,律诗
贈別表兄韋卿,權德輿,新讀兵書事護羌，腰間寶劒映金章。少年百戰應輕別，莫笑儒生淚數行。,唐,绝句
送襄邑知縣杜君懿太博,梅堯臣,霜落水未落，令君將度河。農耕休叱耒，女織罷鳴梭。赤幘驅亭長，丹砂挈印窠。無慙浚儀政，才比陸雲多。,唐,律诗
无题,曾觌,溪山多胜事，诗酒辨清游。主人为我，增茸台榭足凝眸。仿佛玉壶天地，隐见瀛洲风月，千首傲王侯。谁与共登眺，公子气横秋。记当年，曾共醉，庾公楼。一杯此际，重话前事逐东流。多谢兼金清唱，更拟重阳佳节，挼菊任扶头。但愿身长健，浮世拚悠悠。,宋,词
黄鶴樓,羅與之,翬飛棟宇據城端，車馬塵中得異觀。雙眼莫供淮地闊，一江不盡蜀波寒。老仙橫笛月亭午，騷客懷鄉日欲殘。獨撫遺蹤增慨慕，徘徊不忍下層欄。,唐,律诗
无题,戴复古,三日春光，群贤胜践，山阴何似山阳。鹅池墨妙，曲水记流觞。自许风流丘壑，何人共、击楫长江。新亭上，山河有异，举目恨堂堂。使君，经世志，十年边上，两鬓风霜。问池边杨柳，因甚凄凉。万树重新种了，株株在、桃李花傍。仍须待，剩栽兰芷，为国洗河湟。,宋,词
禪人寫真求贊  其五六,釋正覺,氣韻能清，眉目似笑。深深入大道之環，默默守羣機之要。鬧裏隨緣，虛中分照。用作家之鉗鎚，與本分之草料。千毳相從兮，俱求參飽。,唐,词
无题,彭子翔,仙家春不老，谁说到、牡丹休。算蛮柳樊樱，怎生了得，白傅风流。枝头。摽梅实好，奈绿阴、庭户不禁愁。幸有琴中凤语，能通镜里鸾求。锵璆。杂佩下瀛洲。宝箑紫烟浮。望兰情红盼，三生曾识，一见如羞。绸缪。从今偕老，似柳郎、无负碧云秋。莫倚回文妙手，放教远觅封候。,宋,词
无题,杨无咎,月堕霜飞。隔窗疏瘦，微见横枝。不道寒香，解随羌管，吹到屏帷。个中风味谁知。睡乍起、乌云任敧。嚼蕊挼英，浅颦轻笑，酒半醒时。,宋,词
无题,辛弃疾,有酒忘杯，有笔忘诗，弄溪奈何。看纵横斗转，龙蛇起陆，崩腾决去，雪练倾河。袅袅东风，悠悠倒景，摇动云山水又波。还知否，欠菖蒲攒港，绿竹缘坡。长松谁剪嵯峨。笑野老来耘山上禾。算只因鱼鸟，天然自乐，非关风月，闲处偏多。芳草春深，佳人日暮，濯发沧浪独浩歌。徘徊久，问人间谁似，老子婆娑。,宋,词
明妃曲四首 一,儲光羲,西行隴上泣胡天，南向雲中指渭川。毳幕夜來時宛轉，何由得似漢王邊。,唐,绝句
无题,史浩,夕阳影里东风软，骄马趁香车。看花妆镜，藏春绣幕，百万人家。夜阑归去，星繁绛蜡，珠翠鲜华。笙歌不散，疏锺隐隐，月在梅丫。,宋,词
无题,方千里,锦城春色移根，丽姿迥压江南地。琼酥拂脸，彩云满袖，群芳羞避。双燕来时，暮寒庭院，雨藏烟闭。正□□未足，宫妆尚怯，还轻洒胭脂泪。长是欢游花底。怕东风、陡成怨吹。高烧银烛，梁州催按，歌声渐起。绿态多慵，红情不语，动摇人意。算吴宫独步，昭阳第一，可依稀比。,宋,词
无题,林式之,桐皋东去，又依然、烟际云边柔橹。赖有双台知己耳，牢落孤怀欲吐。小倚云根，细商心事，提起千年语。九天飞梦，别来长记幽渚。试说北海归文，西山何事，犹不甘臣武。广大尧天箕颍小，绵上可能如许。举世真痴，先生长啸，尘海谁堪与。啸声吹送，刺天鸾鹤冲举。,宋,词
戲詠零陵李宗古居士家馴鷓鴣二首  其一,黄庭堅,山雌之弟竹雞兄，乍入雕籠便不驚。此鳥爲公行不得，報晴報雨總同聲。,唐,绝句
丹井懷叔達,陳藻,喜稱吾子賦，羞道少年時。別去休論易，愁來欲寄詩。夕陽書不到，殘月夢相隨。晚歲傷心事，松峬獨語誰。,唐,律诗
无题,黄庭坚,百丈峰头开古镜。马驹踏杀重苏醒。接得古灵心眼净。光炯炯。归来藏在袈裟影。好个佛堂佛不圣。祖师沈醉犹看镜。却与斩新提祖令。方猛省。无声三昧天皇饼。,宋,词
无题,无名氏,标格清高，性姿雅淡，群芳独步惟梅。当年秀气，付作此奇材。不逐东风桃李俗，冰霜里、弹压春回。还应是，崧神降瑞，屈指一阳来。文章，推大手，关征小试，暂费筹财。我殷勤为寿，起舞持杯。鹏翮抟风再整，南枝报、管占新魁。从今看，和羹大用，指日主三台。,宋,词
次韻送郝同知還閩二首  其二,方回,字畫多年逼獻之，高材天賦豈人爲。一枝禿筆無能敵，百尺名樓有所思。磧馬塞鴻忘舊夢，建茶閩荔富新詩。皇天具眼終徼福，多病從來喜讓夷。,唐,律诗
趙左司挽詞  其三,樓鑰,許國終無撓，居家不願餘。深蒙明主眷，未覺故人疎。高論三千牘，陰功四一書。佳兒承積慶，端可大門閭。,唐,律诗
和呂叔恭題和州香林湯,王之道,新詩等絺繡，文采照座右。尤憐繼絕唱，峥嶸競高秀。詞源眉山長，句法杜陵舊。相從今老矣，豈獨歌邂逅。香林在何許，溢沸發巖竇。其流漸清温，脈助草木茂。歲旱添苗槁，一溉十倍收。追游記疇昔，我僕苦痛疚。别來隔兵火，荆榛挂猿狖。温温自然湯，蠲痾古非謬。我聞泉所發，江海遠相透。其温本硫黄，氣味自同臭。大哉無礙浴，天地不輕授。嚴霜與烈日，冬夏特異候。人生困凌薄，往往少中壽。飄飄澡雪力，狴犴忽蒙宥。春寒不喜出，塊坐撥殘槱。晦陰又連朔，夜雨屢通晝。誰能慰窮愁，邵州有賢守。開箧出大軸，令我和其後。此意重虚辱，勉彊忘固陋。呂侯卿相家，博學靡不究。會當似前人，嘉猷日告后。君看華清宮，誨淫似招寇。當年從千官，車馬所奔輳。漁陽一炬火，曾不半錢售。争如寄僧房，泠泠灔苔甃。常遂塵土濯，永免脂粉漱。,唐,诗
无题,李昴英,世羡官高大。又谁知、几多卿相，身荣名壤。我辈相逢无愧色，彼此苍颜健在。又荣易、分携越海。写出阳关离别恨，看一行、雁字斜飞界。天下宝，愿自爱。白衣苍狗须臾改。久冥心、鸡虫得失，鷃鹏迟快。君带貂蝉头上立，老我荷衣草带。肯此膝、向人雅拜。远饯元非趋炎者，二十年、相与形骸外。义金石，更坚耐。,宋,词
書懷,戴栩,隨牒滄海隅，兩見初月吐。緬懷故山友，飄散等風雨。低頭繙簿書，仄足隨步武。荒哉舊時學，千石壓一縷。涇渭誰濁清，荼薺互甘苦。癡兒了官事，朝飯或過午。聊爲五斗淹，未受三命俯。有得那免失，無闕孰爲補。門前流水車，六轡去如組。忽逢阮生途，微徑何由取。夸者類死權，所死固已粗。人生天地間，誰客復誰主。蛙鳴儻適意，賢於兩部鼓。蝸角起相攘，戰劇赤白羽。息機自搰搰，獨趣甘踽踽。喧寂不相謀，笑人從鄧禹。行藏正有時，倚樓追杜甫。固知抱書癖，未肯學錢虜。長纓覊單于，尺紙招贊普。古來磊落人，過眼蚊蚋聚。且復對青山，天外修眉嫵。悠然成獨酌，醉語免童羖。是時秋冬交，寒事欲墐戶。蛩螿夜唧唧，草木霜莽莽。新詩從何來，令我隘寰宇。颯然出世姿，一蛻塵與土。海風入書幃，吟和鷗鴉樐。夜光驚照室，恍若珠還浦。拂研染松煤，自汲寒井甒。惡語未用刪，意澹聲節古。起看參斗橫，的歷掛枌栩。,唐,诗
无题,无名氏,去年寻处曾持酒。还是向、南枝见后。宜霜宜雪精神，没些儿、风味减旧。先春似与群芳斗。暗度香、不待频嗅。有人笑折归来，玉纤长、尽露罗袖。,宋,词
无题,康与之,重阳日，四面雨垂垂。戏马台前泥拍肚，龙山路上水平脐。淹浸倒东篱。茱萸胖，黄菊湿齑齑。落帽孟嘉寻箬笠，漉巾陶令买蓑衣。都道不如归。,宋,词
无题,朱敦儒,红分翠别。宿酒半醒，征鞍将发。楼外残钟，帐前残烛，窗边残月。想伊绣枕无眠，记行客、如今去也。心下难拚，眼前难觅，口头难说。,宋,词
无题,辛弃疾,珠玉作泥沙，山谷量牛马。试上累累丘垅看，谁是强梁者。水浸浅深檐，山压高低瓦。山水朝来笑问人，翁早归来也。,宋,词
无题,王安中,笑时眼迷青意贴，行时鞋露绣旁相。,宋,词
君舉再飯五峰閣四望,曾丰,城中無隙地，閣上有餘天。白雪重湖浪，黄茅五嶺烟。高樓南蜃湧，大字北鴻連。總是詩之具，收歸作畫傳。,唐,律诗
无题,赵师侠,连朝雨骤驱春去，瓦注盆倾。不记初春。润柳催花忒有情。春光解有重来日，宁耐休争。待得秋深。听你无聊点滴声。,宋,词
无题,无名氏,九陌游人起暗尘。一天灯雾锁彤云。瑶台雪映无穷玉，阆苑花开不夜春。攒宝骑，簇雕轮。汉家宫阙五侯门。景阳钟动才归去，犹挂西窗望月痕。,宋,词
无题,柳永,雾敛澄江，烟消蓝光碧。彤霞衬遥天，掩映断续，半空残月。孤村望处人寂寞，闻钓叟、甚处一声羌笛。九疑山畔才雨过，斑竹作、血痕添色。感行客。翻思故国，恨因循阻隔。路久沈消息。正老松枯柏情如织。闻野猿啼，愁听得。见钓舟初出，芙蓉渡头，鸳鸯滩侧。干名利禄终无益。念岁岁间阻，迢迢紫陌。翠蛾娇艳，从别后经今，花开柳拆伤魂魄。利名牵役。又争忍、把光景抛掷。,宋,词
无题,陈著,袅入风腔，清含露脉，声在丝丝烟碧。破暑吹凉，天付弄娇双腋。似恋恋、舞翠纤腰，断还续、忍相离拆。最欢时、微雨初晴，夕阳犹湿淡云隔。新来多少怆感，心怕无情过马，攀条惊著。梦里妆台，休说听来曾昨。凝伫漫、番节笙音，暗自将、玉阑轻拍。问谁能、唤起陶潜，醉翁同赋却。,宋,词
无题,袁去华,飞燕双双掌上身。花光纷艳晚妆新。纤腰妙舞萦回雪，皓齿清歌遏住云。欢卜夜，座添春。近前生怕主人嗔。主人见惯浑闲事，恼杀醒狂一个人。,宋,词
无题,刘克庄,纤软小腰身，明秀天真面。淡画修眉小作春，中有相思怨。昔立向人羞，颜破因谁倩。不比阳台梦里逢，亲向尊前见。,宋,词
无题,晏几道,莫问逢春能几回。能歌能笑是多才。露花犹有好枝开。绿鬓旧人皆老大，红梁新燕又归来。尽须珍重掌中杯。,宋,词
賦百舌鳥,嚴郾,此禽輕巧少同倫，我聽長疑舌滿身。星未沒河先報曉，柳猶黏雪便迎春。頻嫌海燕巢難定，却訝林鶯語不真。莫倚春風便多事，玉樓還有晏眠人。,唐,律诗
无题,柳永,误入平康小巷，画檐深处，珠箔微褰。罗绮丛中，偶认旧识婵娟。翠眉开、娇横远岫，绿鬓亸、浓染春烟。忆情牵。粉墙曾恁，窥宋三年。迁延。珊瑚筵上，亲持犀管，旋叠香笺。要索新词，殢人含笑立尊前。按新声、珠喉渐稳，想旧意、波脸增妍。苦留连。凤衾鸳枕，忍负良天。,宋,词
无题,郭应祥,合浦名邦。风流太守，紫绶金章。暂驻旌麾，来临祖席，一片潇湘。且须缓举离觞。细看取、眉间点黄。未到还珠，已闻赐玺，归近清光。,宋,词
司馬溫公挽詩五首  其五,孔武仲,拙與世沈浮，登門二十秋。雲天曾送上，風壑此來遊。霄漢三台坐，江湖萬里舟。摳衣已不及，慘愴逝川流。,唐,律诗
无题,周密,绿绮紫丝步障，红鸾彩凤仙城。谁将三十六陂春。换得两堤秋锦。眼缬醉迷朱碧，笔花俊赏丹青。斜阳展尽赵昌屏。羞死舞鸾妆镜。,宋,词
局中晝睡,張耒,鳥啼花開千萬思，春色醉人成午睡。燒香掃地一室間，藜床布枕平生事。君知章華久寂寞，楚夢無人憚青兕。東風轉野作晴雷，蕩蹙山川作紅翠。白日下照七澤寬，孤城樓觀失餘寒。頗怪故山頻入夢，年來真厭楚人餐。,唐,诗
寧壽寺劭農登慈氏閣和李誠之柱間韻,李曾伯,持酒殷勤問爾農，憂時同此願年豐。倉箱欲致崇墉積，耒耜宜加曠土功。水北有田均夜雨，嶺南無地不春風。吾皇德化形扶杖，親見兒嬉七十翁。,唐,律诗
无题,朱敦儒,风流才子倾城色。红缨翠幰长安陌。夜饮小平康。暖生银字簧。持杯留上客。私语眉峰侧。半冷水沈香。罗帷宫漏长。,宋,词
无题,晁补之,君似苍崖千仞竹，一枝孤映蒿萧。箪瓢不减万锺豪。闲情搔短发，佳句咏纤腰。罢酒兰舟回楚柂，相思何处今宵。淮南幽桂水云饶。他年春草恨，应有小山招。,宋,词
无题,杜安世,嫩柳成阴，残花双舞。尘消院落新经雨。洞房深掩日长天，珠帘时有沈烟度。夜梦凄凉，晨妆薄注。香肌瘦尽宽金缕。到头终是恶因缘，当初只被多情误。,宋,词
次韵范淳甫送秦少章,蘇軾,宿緣在江海，世網如予何。西來庾公塵，已濯長淮波。十年淮海人，初見一麥禾。但欣爭訟少，未覺舟車多。秦郎忽過我，賦詩如卷阿。句法本黄子，二豪與揩磨。嗟我久離羣，逝將老西河。後生多名士，欲薦空悲歌。小范真可人，獨肯勤收羅。瘦馬識醁耳，枯桐得雲和。近聞館李生，病鶴借一柯。贈行苦說我，妙語慰蹉跎。西羌已解仇，烽火連朝那。坐籌付公等，吾將寄潛沱。,唐,诗
